"Title","Artist(s)","Year","Rank"
NA,NA,2013,12
NA,NA,2013,13
NA,NA,2013,14
NA,NA,2013,15
NA,NA,2013,16
NA,NA,2013,17
NA,NA,2013,18
NA,NA,2013,19
NA,NA,2013,20
"""Happy""","Pharrell Williams",2014,1
"""Dark Horse""","Katy Perry featuring Juicy J",2014,2
"""All of Me""","John Legend",2014,3
"""Fancy""","Iggy Azalea featuring Charli XCX",2014,4
"""Counting Stars""","OneRepublic",2014,5
"""Talk Dirty""","Jason Derulo featuring 2 Chainz",2014,6
"""Rude""","Magic!",2014,7
"""All About That Bass""","Meghan Trainor",2014,8
"""Problem""","Ariana Grande featuring Iggy Azalea",2014,9
"""Stay with Me""","Sam Smith",2014,10
"""Timber""","Pitbull featuring Kesha",2014,11
"""Pompeii""","Bastille",2014,12
"""Shake It Off""","Taylor Swift",2014,13
"""Am I Wrong""","Nico & Vinz",2014,14
"""Turn Down for What""","DJ Snake and Lil Jon",2014,15
"""The Monster""","Eminem featuring Rihanna",2014,16
"""Say Something""","A Great Big World and Christina Aguilera",2014,17
"""Team""","Lorde",2014,18
"""Let Her Go""","Passenger",2014,19
"""Royals""","Lorde",2014,20
"""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015,1
"""Thinking Out Loud""","Ed Sheeran",2015,2
"""See You Again""","Wiz Khalifa featuring Charlie Puth",2015,3
"""Trap Queen""","Fetty Wap",2015,4
"""Sugar""","Maroon 5",2015,5
"""Shut Up and Dance""","Walk the Moon",2015,6
"""Blank Space""","Taylor Swift",2015,7
"""Watch Me""","Silentó",2015,8
"""Earned It""","The Weeknd",2015,9
"""The Hills""","The Weeknd",2015,10
"""Cheerleader (Felix Jaehn Remix)""","OMI",2015,11
"""Can't Feel My Face""","The Weeknd",2015,12
"""Love Me Like You Do""","Ellie Goulding",2015,13
"""Take Me to Church""","Hozier",2015,14
"""Bad Blood""","Taylor Swift featuring Kendrick Lamar",2015,15
"""Lean On""","Major Lazer and DJ Snake featuring MØ",2015,16
"""Want to Want Me""","Jason Derulo",2015,17
"""Shake It Off""","Taylor Swift",2015,18
"""Where Are Ü Now""","Skrillex and Diplo (Jack Ü) featuring Justin Bieber",2015,19
"""Fight Song""","Rachel Platten",2015,20
"""Love Yourself""","Justin Bieber",2016,1
"""Sorry""","Justin Bieber",2016,2
"""One Dance""","Drake featuring Wizkid and Kyla",2016,3
"""Work""","Rihanna featuring Drake",2016,4
"""Stressed Out""","Twenty One Pilots",2016,5
"""Panda""","Desiigner",2016,6
"""Hello""","Adele",2016,7
"""Don't Let Me Down""","The Chainsmokers featuring Daya",2016,8
"""Can't Stop the Feeling!""","Justin Timberlake",2016,9
"""Closer""","The Chainsmokers featuring Halsey",2016,10
"""Cheap Thrills""","Sia featuring Sean Paul",2016,11
"""7 Years""","Lukas Graham",2016,12
"""Needed Me""","Rihanna",2016,13
"""My House""","Flo Rida",2016,14
"""I Took a Pill in Ibiza""","Mike Posner",2016,15
"""Work from Home""","Fifth Harmony featuring Ty Dolla Sign",2016,16
"""This Is What You Came For""","Calvin Harris featuring Rihanna",2016,17
"""Cake by the Ocean""","DNCE",2016,18
"""Me, Myself & I""","G-Eazy and Bebe Rexha",2016,19
"""Ride""","Twenty One Pilots",2016,20
"""Shape of You""","Ed Sheeran",2017,1
"""Despacito (Remix)""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017,2
"""That's What I Like""","Bruno Mars",2017,3
"""Humble""","Kendrick Lamar",2017,4
"""Something Just Like This""","The Chainsmokers and Coldplay",2017,5
"""Bad and Boujee""","Migos featuring Lil Uzi Vert",2017,6
"""Closer""","The Chainsmokers featuring Halsey",2017,7
"""Body Like a Back Road""","Sam Hunt",2017,8
"""Believer""","Imagine Dragons",2017,9
"""Congratulations""","Post Malone featuring Quavo",2017,10
"""Say You Won't Let Go""","James Arthur",2017,11
"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",2017,12
"""XO Tour Llif3""","Lil Uzi Vert",2017,13
"""Mask Off""","Future",2017,14
"""Unforgettable""","French Montana featuring Swae Lee",2017,15
"""24K Magic""","Bruno Mars",2017,16
"""Stay""","Zedd and Alessia Cara",2017,17
"""Wild Thoughts""","DJ Khaled featuring Rihanna and Bryson Tiller",2017,18
"""Black Beatles""","Rae Sremmurd featuring Gucci Mane",2017,19
"""Starboy""","The Weeknd featuring Daft Punk",2017,20
"""God's Plan""","Drake",2018,1
"""Perfect""","Ed Sheeran",2018,2
"""Meant to Be""","Bebe Rexha featuring Florida Georgia Line",2018,3
"""Havana""","Camila Cabello featuring Young Thug",2018,4
"""Rockstar""","Post Malone featuring 21 Savage",2018,5
"""Psycho""","Post Malone featuring Ty Dolla Sign",2018,6
"""I Like It""","Cardi B, Bad Bunny and J Balvin",2018,7
"""The Middle""","Zedd, Maren Morris and Grey",2018,8
"""In My Feelings""","Drake",2018,9
"""Girls Like You""","Maroon 5 featuring Cardi B",2018,10
"""Nice for What""","Drake",2018,11
"""Lucid Dreams""","Juice Wrld",2018,12
"""Better Now""","Post Malone",2018,13
"""Finesse""","Bruno Mars featuring Cardi B",2018,14
"""Boo'd Up""","Ella Mai",2018,15
"""New Rules""","Dua Lipa",2018,16
"""Sad!""","XXXTentacion",2018,17
"""Never Be the Same""","Camila Cabello",2018,18
"""Love Lies""","Khalid and Normani",2018,19
"""No Tears Left to Cry""","Ariana Grande",2018,20
"""Old Town Road""","Lil Nas X featuring Billy Ray Cyrus",2019,1
"""Sunflower""","Post Malone and Swae Lee",2019,2
"""Without Me""","Halsey",2019,3
"""Bad Guy""","Billie Eilish",2019,4
"""Wow""","Post Malone",2019,5
"""Happier""","Marshmello and Bastille",2019,6
"""7 Rings""","Ariana Grande",2019,7
"""Talk""","Khalid",2019,8
"""Sicko Mode""","Travis Scott",2019,9
"""Sucker""","Jonas Brothers",2019,10
"""High Hopes""","Panic! at the Disco",2019,11
"""Thank U, Next""","Ariana Grande",2019,12
"""Truth Hurts""","Lizzo",2019,13
"""Dancing with a Stranger""","Sam Smith and Normani",2019,14
"""Señorita""","Shawn Mendes and Camila Cabello",2019,15
"""I Don't Care""","Ed Sheeran and Justin Bieber",2019,16
"""Eastside""","Benny Blanco, Halsey and Khalid",2019,17
"""Going Bad""","Meek Mill featuring Drake",2019,18
"""Shallow""","Lady Gaga and Bradley Cooper",2019,19
"""Better""","Khalid",2019,20
"""Blinding Lights""","The Weeknd",2020,1
"""Circles""","Post Malone",2020,2
"""The Box""","Roddy Ricch",2020,3
"""Don't Start Now""","Dua Lipa",2020,4
"""Rockstar""","DaBaby featuring Roddy Ricch",2020,5
"""Adore You""","Harry Styles",2020,6
"""Life Is Good""","Future featuring Drake",2020,7
"""Memories""","Maroon 5",2020,8
"""The Bones""","Maren Morris",2020,9
"""Someone You Loved""","Lewis Capaldi",2020,10
"""Say So""","Doja Cat",2020,11
"""I Hope""","Gabby Barrett featuring Charlie Puth",2020,12
"""Whats Poppin""","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",2020,13
"""Dance Monkey""","Tones and I",2020,14
"""Savage""","Megan Thee Stallion featuring Beyoncé",2020,15
"""Roxanne""","Arizona Zervas",2020,16
"""Intentions""","Justin Bieber featuring Quavo",2020,17
"""Everything I Wanted""","Billie Eilish",2020,18
"""Roses (Imanbek remix)""","Saint Jhn",2020,19
"""Watermelon Sugar""","Harry Styles",2020,20
"""Levitating""","Dua Lipa",2021,1
"""Save Your Tears""","The Weeknd and Ariana Grande",2021,2
"""Blinding Lights""","The Weeknd",2021,3
"""Mood""","24kGoldn featuring Iann Dior",2021,4
"""Good 4 U""","Olivia Rodrigo",2021,5
"""Kiss Me More""","Doja Cat featuring SZA",2021,6
"""Leave the Door Open""","Silk Sonic (Bruno Mars and Anderson .Paak)",2021,7
"""Drivers License""","Olivia Rodrigo",2021,8
"""Montero (Call Me by Your Name)""","Lil Nas X",2021,9
"""Peaches""","Justin Bieber featuring Daniel Caesar and Giveon",2021,10
"""Butter""","BTS",2021,11
"""Stay""","The Kid Laroi and Justin Bieber",2021,12
"""Deja Vu""","Olivia Rodrigo",2021,13
"""Positions""","Ariana Grande",2021,14
"""Bad Habits""","Ed Sheeran",2021,15
"""Heat Waves""","Glass Animals",2021,16
"""Without You""","The Kid Laroi",2021,17
"""Forever After All""","Luke Combs",2021,18
"""Go Crazy""","Chris Brown and Young Thug",2021,19
"""Astronaut in the Ocean""","Masked Wolf",2021,20
"""Heat Waves""","Glass Animals",2022,1
"""As It Was""","Harry Styles",2022,2
"""Stay""","The Kid Laroi and Justin Bieber",2022,3
"""Easy on Me""","Adele",2022,4
"""Shivers""","Ed Sheeran",2022,5
"""First Class""","Jack Harlow",2022,6
"""Big Energy""","Latto",2022,7
"""Ghost""","Justin Bieber",2022,8
"""Super Gremlin""","Kodak Black",2022,9
"""Cold Heart (Pnau Remix)""","Elton John and Dua Lipa",2022,10
"""Wait for U""","Future featuring Drake and Tems",2022,11
"""About Damn Time""","Lizzo",2022,12
"""Bad Habits""","Ed Sheeran",2022,13
"""Thats What I Want""","Lil Nas X",2022,14
"""Enemy""","Imagine Dragons and JID",2022,15
"""Industry Baby""","Lil Nas X and Jack Harlow",2022,16
"""ABCDEFU""","Gayle",2022,17
"""Need to Know""","Doja Cat",2022,18
"""Wasted on You""","Morgan Wallen",2022,19
"""Me Porto Bonito""","Bad Bunny and Chencho Corleone",2022,20
"""Last Night""","Morgan Wallen",2023,1
"""Flowers""","Miley Cyrus",2023,2
"""Kill Bill""","SZA",2023,3
"""Anti-Hero""","Taylor Swift",2023,4
"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage",2023,5
"""Calm Down""","Rema and Selena Gomez",2023,6
"""Die for You""","The Weeknd and Ariana Grande",2023,7
"""Fast Car""","Luke Combs",2023,8
"""Snooze""","SZA",2023,9
"""I'm Good (Blue)""","David Guetta and Bebe Rexha",2023,10
"""Unholy""","Sam Smith and Kim Petras",2023,11
"""You Proof""","Morgan Wallen",2023,12
"""Something in the Orange""","Zach Bryan",2023,13
"""Rich Flex""","Drake and 21 Savage",2023,14
"""As It Was""","Harry Styles",2023,15
"""Rock and a Hard Place""","Bailey Zimmerman",2023,16
"""Under the Influence""","Chris Brown",2023,17
"""Cruel Summer""","Taylor Swift",2023,18
"""Thinkin' Bout Me""","Morgan Wallen",2023,19
"""Boy's a Liar Pt. 2""","PinkPantheress and Ice Spice",2023,20
"""Lose Control""","Teddy Swims",2024,1
"""A Bar Song (Tipsy)""","Shaboozey",2024,2
"""Beautiful Things""","Benson Boone",2024,3
"""I Had Some Help""","Post Malone featuring Morgan Wallen",2024,4
"""Lovin on Me""","Jack Harlow",2024,5
"""Not Like Us""","Kendrick Lamar",2024,6
"""Espresso""","Sabrina Carpenter",2024,7
"""Million Dollar Baby""","Tommy Richman",2024,8
"""I Remember Everything""","Zach Bryan featuring Kacey Musgraves",2024,9
"""Too Sweet""","Hozier",2024,10
"""Stick Season""","Noah Kahan",2024,11
"""Cruel Summer""","Taylor Swift",2024,12
"""Greedy""","Tate McRae",2024,13
"""Like That""","Future, Metro Boomin and Kendrick Lamar",2024,14
"""Birds of a Feather""","Billie Eilish",2024,15
"""Please Please Please""","Sabrina Carpenter",2024,16
"""Agora Hills""","Doja Cat",2024,17
"""Good Luck, Babe!""","Chappell Roan",2024,18
"""Saturn""","SZA",2024,19
"""Snooze""","SZA",2024,20
